Benchmark,Kotlin,C,Swift,C++,Rust
Compile: Primes Functional,0.0,,1.01,0.55,0.99
Primes Functional,0.0,,3.152,1.448,1.472
Compile: Strings Functional,0.0,,2.0,0.95,0.5
Strings Functional,0.0,,4.272,0.19,0.05
Compile: Strings Imperative,0.0,,1.24,0.79,0.5
Strings Imperative,0.0,,3.4779999999999993,0.13,0.05
Compile: Chunks Functional,0.0,0.19,0.87,,0.46
Chunks Functional,0.0,0.664,9.645999999999999,,0.9460000000000001
Compile: Chunks Imperative,0.0,0.18,0.53,,0.46
Chunks Imperative,0.0,0.6779999999999999,0.8299999999999998,,0.8860000000000001
Compile: JSON,,,0.86,,39.81
JSON,,,3.9879999999999995,,0.156
